,Year,Month,Median_Temp_Difference
0,1850,01,-0.7
1,1850,02,-0.28600000000000003
2,1850,03,-0.732
3,1850,04,-0.563
4,1850,05,-0.327
5,1850,06,-0.213
6,1850,07,-0.125
7,1850,08,-0.237
8,1850,09,-0.439
9,1850,10,-0.451
10,1850,11,-0.187
11,1850,12,-0.257
12,1851,01,-0.29600000000000004
13,1851,02,-0.35600000000000004
14,1851,03,-0.479
15,1851,04,-0.441
16,1851,05,-0.295
17,1851,06,-0.19699999999999998
18,1851,07,-0.212
19,1851,08,-0.157
20,1851,09,-0.10099999999999999
21,1851,10,-0.057
22,1851,11,-0.02
23,1851,12,-0.051
24,1852,01,-0.315
25,1852,02,-0.47700000000000004
26,1852,03,-0.502
27,1852,04,-0.557
28,1852,05,-0.21100000000000002
29,1852,06,-0.04
30,1852,07,-0.018000000000000002
31,1852,08,-0.20199999999999999
32,1852,09,-0.125
33,1852,10,-0.21600000000000003
34,1852,11,-0.193
35,1852,12,0.073
36,1853,01,-0.182
37,1853,02,-0.327
38,1853,03,-0.309
39,1853,04,-0.355
40,1853,05,-0.268
41,1853,06,-0.175
42,1853,07,-0.059000000000000004
43,1853,08,-0.14800000000000002
44,1853,09,-0.40399999999999997
45,1853,10,-0.36200000000000004
46,1853,11,-0.255
47,1853,12,-0.43700000000000006
48,1854,01,-0.365
49,1854,02,-0.282
50,1854,03,-0.28600000000000003
51,1854,04,-0.353
52,1854,05,-0.233
53,1854,06,-0.21899999999999997
54,1854,07,-0.22699999999999998
55,1854,08,-0.16699999999999998
56,1854,09,-0.11900000000000001
57,1854,10,-0.192
58,1854,11,-0.36700000000000005
59,1854,12,-0.233
60,1855,01,-0.16899999999999998
61,1855,02,-0.401
62,1855,03,-0.306
63,1855,04,-0.223
64,1855,05,-0.33799999999999997
65,1855,06,-0.16699999999999998
66,1855,07,-0.271
67,1855,08,-0.163
68,1855,09,-0.336
69,1855,10,-0.217
70,1855,11,-0.214
71,1855,12,-0.518
72,1856,01,-0.122
73,1856,02,-0.376
74,1856,03,-0.528
75,1856,04,-0.38
76,1856,05,-0.129
77,1856,06,-0.29100000000000004
78,1856,07,-0.304
79,1856,08,-0.309
80,1856,09,-0.461
81,1856,10,-0.391
82,1856,11,-0.608
83,1856,12,-0.449
84,1857,01,-0.513
85,1857,02,-0.345
86,1857,03,-0.434
87,1857,04,-0.649
88,1857,05,-0.57
89,1857,06,-0.31
90,1857,07,-0.541
91,1857,08,-0.32899999999999996
92,1857,09,-0.39299999999999996
93,1857,10,-0.474
94,1857,11,-0.6679999999999999
95,1857,12,-0.358
96,1858,01,-0.528
97,1858,02,-0.708
98,1858,03,-0.5479999999999999
99,1858,04,-0.512
100,1858,05,-0.653
101,1858,06,-0.5820000000000001
102,1858,07,-0.32899999999999996
103,1858,08,-0.278
104,1858,09,-0.332
105,1858,10,-0.21100000000000002
106,1858,11,-0.643
107,1858,12,-0.304
108,1859,01,-0.308
109,1859,02,-0.18899999999999997
110,1859,03,-0.327
111,1859,04,-0.195
112,1859,05,-0.307
113,1859,06,-0.248
114,1859,07,-0.27399999999999997
115,1859,08,-0.1
116,1859,09,-0.565
117,1859,10,-0.249
118,1859,11,-0.315
119,1859,12,-0.363
120,1860,01,-0.18100000000000002
121,1860,02,-0.426
122,1860,03,-0.642
123,1860,04,-0.332
124,1860,05,-0.293
125,1860,06,-0.309
126,1860,07,-0.109
127,1860,08,-0.182
128,1860,09,-0.217
129,1860,10,-0.195
130,1860,11,-0.515
131,1860,12,-0.762
132,1861,01,-0.893
133,1861,02,-0.508
134,1861,03,-0.46399999999999997
135,1861,04,-0.386
136,1861,05,-0.768
137,1861,06,-0.18899999999999997
138,1861,07,-0.221
139,1861,08,-0.094
140,1861,09,-0.33
141,1861,10,-0.36200000000000004
142,1861,11,-0.41700000000000004
143,1861,12,-0.247
144,1862,01,-0.742
145,1862,02,-0.78
146,1862,03,-0.40299999999999997
147,1862,04,-0.24
148,1862,05,-0.225
149,1862,06,-0.336
150,1862,07,-0.344
151,1862,08,-0.7
152,1862,09,-0.42
153,1862,10,-0.42
154,1862,11,-0.7659999999999999
155,1862,12,-0.887
156,1863,01,0.122
157,1863,02,-0.024
158,1863,03,-0.365
159,1863,04,-0.244
160,1863,05,-0.32899999999999996
161,1863,06,-0.402
162,1863,07,-0.423
163,1863,08,-0.326
164,1863,09,-0.316
165,1863,10,-0.384
166,1863,11,-0.32899999999999996
167,1863,12,-0.341
168,1864,01,-0.941
169,1864,02,-0.632
170,1864,03,-0.507
171,1864,04,-0.5479999999999999
172,1864,05,-0.45399999999999996
173,1864,06,-0.165
174,1864,07,-0.159
175,1864,08,-0.311
176,1864,09,-0.445
