Date/Time,Electricity Demand for the Branch (kw),Solar System Output (kWh),DOW,15min_interval
1/1/2013 0:00,7.29,0,3,1
1/1/2013 0:15,8.26,0,3,2
1/1/2013 0:30,7.78,0,3,3
1/1/2013 0:45,7.29,0,3,4
1/1/2013 1:00,7.29,0,3,5
1/1/2013 1:15,8.26,0,3,6
1/1/2013 1:30,7.78,0,3,7
1/1/2013 1:45,7.78,0,3,8
1/1/2013 2:00,7.29,0,3,9
1/1/2013 2:15,8.26,0,3,10
1/1/2013 2:30,7.29,0,3,11
1/1/2013 2:45,7.78,0,3,12
1/1/2013 3:00,7.29,0,3,13
1/1/2013 3:15,8.26,0,3,14
1/1/2013 3:30,7.78,0,3,15
1/1/2013 3:45,7.29,0,3,16
1/1/2013 4:00,8.26,0,3,17
1/1/2013 4:15,7.78,0,3,18
1/1/2013 4:30,7.78,0,3,19
1/1/2013 4:45,7.78,0,3,20
1/1/2013 5:00,7.78,0,3,21
1/1/2013 5:15,8.26,0,3,22
1/1/2013 5:30,7.29,0,3,23
1/1/2013 5:45,7.29,0,3,24
1/1/2013 6:00,8.26,0,3,25
1/1/2013 6:15,10.21,0,3,26
1/1/2013 6:30,8.26,0,3,27
1/1/2013 6:45,8.75,0.015,3,28
1/1/2013 7:00,10.21,0.035,3,29
1/1/2013 7:15,8.75,0.256,3,30
1/1/2013 7:30,7.29,0.289,3,31
1/1/2013 7:45,8.26,0.963,3,32
1/1/2013 8:00,6.81,1.442,3,33
1/1/2013 8:15,6.32,1.561,3,34
1/1/2013 8:30,5.83,1.764,3,35
1/1/2013 8:45,6.32,1.631,3,36
1/1/2013 9:00,6.81,2.555,3,37
1/1/2013 9:15,7.78,2.831,3,38
1/1/2013 9:30,6.32,2.634,3,39
1/1/2013 9:45,7.29,4.14,3,40
1/1/2013 10:00,6.32,4.196,3,41
1/1/2013 10:15,6.81,5.799,3,42
1/1/2013 10:30,5.83,5.869,3,43
1/1/2013 10:45,5.83,6.758,3,44
1/1/2013 11:00,4.86,5.124,3,45
1/1/2013 11:15,5.35,5.562,3,46
1/1/2013 11:30,5.35,6.245,3,47
1/1/2013 11:45,4.86,5.217,3,48
1/1/2013 12:00,4.8,6.24,3,49
1/1/2013 12:15,6.4,7.15,3,50
1/1/2013 12:30,3.2,6.776,3,51
1/1/2013 12:45,4.8,5.465,3,52
1/1/2013 13:00,4.8,4.962,3,53
1/1/2013 13:15,6.4,4.635,3,54
1/1/2013 13:30,4.8,2.507,3,55
1/1/2013 13:45,4.8,4.601,3,56
1/1/2013 14:00,4.8,3.626,3,57
1/1/2013 14:15,4.8,3.86,3,58
1/1/2013 14:30,4.8,4.167,3,59
1/1/2013 14:45,4.8,4.101,3,60
1/1/2013 15:00,4.8,4.044,3,61
1/1/2013 15:15,4.8,3.356,3,62
1/1/2013 15:30,4.8,2.606,3,63
1/1/2013 15:45,4.8,0.976,3,64
1/1/2013 16:00,4.8,1.67,3,65
1/1/2013 16:15,6.4,0.414,3,66
1/1/2013 16:30,9.6,0.143,3,67
1/1/2013 16:45,9.6,0.042,3,68
1/1/2013 17:00,9.6,0.017,3,69
1/1/2013 17:15,11.2,0,3,70
1/1/2013 17:30,9.6,0,3,71
1/1/2013 17:45,9.6,0,3,72
1/1/2013 18:00,9.6,0,3,73
1/1/2013 18:15,9.6,0,3,74
1/1/2013 18:30,9.6,0,3,75
1/1/2013 18:45,9.6,0,3,76
1/1/2013 19:00,9.6,0,3,77
1/1/2013 19:15,9.6,0,3,78
1/1/2013 19:30,9.6,0,3,79
1/1/2013 19:45,9.6,0,3,80
1/1/2013 20:00,9.6,0,3,81
1/1/2013 20:15,9.6,0,3,82
1/1/2013 20:30,8,0,3,83
1/1/2013 20:45,9.6,0,3,84
1/1/2013 21:00,9.6,0,3,85
1/1/2013 21:15,9.6,0,3,86
1/1/2013 21:30,9.6,0,3,87
1/1/2013 21:45,9.6,0,3,88
1/1/2013 22:00,9.6,0,3,89
1/1/2013 22:15,9.6,0,3,90
1/1/2013 22:30,9.6,0,3,91
1/1/2013 22:45,9.6,0,3,92
1/1/2013 23:00,9.6,0,3,93
1/1/2013 23:15,9.6,0,3,94
1/1/2013 23:30,9.6,0,3,95
1/1/2013 23:45,9.6,0,3,96
1/2/2013 0:00,8,0,4,1
1/2/2013 0:15,9.6,0,4,2
1/2/2013 0:30,8,0,4,3
1/2/2013 0:45,9.6,0,4,4
1/2/2013 1:00,8,0,4,5
1/2/2013 1:15,8,0,4,6
1/2/2013 1:30,9.6,0,4,7
1/2/2013 1:45,8,0,4,8
1/2/2013 2:00,9.6,0,4,9
1/2/2013 2:15,8,0,4,10
1/2/2013 2:30,8,0,4,11
1/2/2013 2:45,9.6,0,4,12
1/2/2013 3:00,8,0,4,13
1/2/2013 3:15,9.6,0,4,14
1/2/2013 3:30,8,0,4,15
1/2/2013 3:45,8,0,4,16
1/2/2013 4:00,9.6,0,4,17
1/2/2013 4:15,8,0,4,18
1/2/2013 4:30,9.6,0,4,19
1/2/2013 4:45,8,0,4,20
1/2/2013 5:00,8,0,4,21
1/2/2013 5:15,9.6,0,4,22
1/2/2013 5:30,8,0,4,23
1/2/2013 5:45,8,0,4,24
1/2/2013 6:00,11.2,0,4,25
1/2/2013 6:15,9.6,0,4,26
1/2/2013 6:30,11.2,0,4,27
1/2/2013 6:45,9.6,0.029,4,28
1/2/2013 7:00,11.2,0.069,4,29
1/2/2013 7:15,9.6,0.348,4,30
1/2/2013 7:30,6.4,0.872,4,31
1/2/2013 7:45,4.8,1.48,4,32
1/2/2013 8:00,6.4,2.149,4,33
1/2/2013 8:15,6.4,2.832,4,34
1/2/2013 8:30,6.4,3.458,4,35
1/2/2013 8:45,6.4,4.031,4,36
1/2/2013 9:00,9.6,4.602,4,37
1/2/2013 9:15,6.4,5.156,4,38
1/2/2013 9:30,8,5.671,4,39
1/2/2013 9:45,8,6.109,4,40
1/2/2013 10:00,8,6.555,4,41
1/2/2013 10:15,8,6.897,4,42
1/2/2013 10:30,8,7.238,4,43
1/2/2013 10:45,8,7.524,4,44
1/2/2013 11:00,8,7.739,4,45
1/2/2013 11:15,8,7.891,4,46
1/2/2013 11:30,8,8.02,4,47
